author,gender,pseudonym,title,title_en,subtitle,sep_edition,source,city,year_begin,genre,characters,narration,file_name,main_genre,general_genre,POS_title,title_length,canon_status,genre1,genre2,genre3,genre4,genre5
Гольдберг Исаак Григорьевич,мужской,0,Поэма о фарфоровой чашке,A Poem about a Porcelain Cup,Роман,1,Сибирские огни,Новосибирск,1930,социально-психологический,рабочие,3 лицо,,социально-психологический,социально-психологический,NOUN PREP ADJF NOUN,4,0,,,,,
Гольдберг Исаак Григорьевич,мужской,0,Жизнь начинается сегодня,Life Begins Today,Роман,1,Сибирские огни,Новосибирск,1934,"социально-психологический, кулаки, рабочие, крестьяне",крестьяне,3 лицо,,социально-психологический,социально-психологический,NOUN VERB ADVB,3,0,,,,,
Гольдберг Исаак Григорьевич,мужской,0,День разгорается,The Day Is Dawning,Роман,0,Новая Сибирь,,1935,"социально-психологический, революционеры, рабочие","революционеры, рабочие",3 лицо,,социально-психологический,социально-психологический,NOUN VERB,2,0,,,,,
"Гончаров, Иван Александрович",мужской,0,Обыкновенная история,A Common Story,роман,0,Современник,,1847,"роман воспитания, социально-психологический",двояне,3 лицо,goncharov_i_obyknovennaya_istoriya_1847.xml,воспитания,воспитания,ADJF NOUN,2,1,роман воспитания,социально-психологический,семейный,,
"Гончаров, Иван Александрович",мужской,0,Обломов,Oblomov,Роман,0,Отечественные записки,,1859,социально-психологический,дворяне,3 лицо,goncharov_i_oblomov_1859.xml,социально-психологический,социально-психологический,NOUN,1,1,социально-психологический,философский,бытовой,,
"Гончаров, Иван Александрович",мужской,0,Обрыв,The Precipice,Роман,0,Вестник Европы,,1869,социально-психологический,дворяне,3 лицо,goncharov_i_obryv_1869.xml,социально-психологический,социально-психологический,NOUN,1,1,социально-психологический,любовный,философский,идеологический,
"Городчанинов, Григорий Николаевич",мужской,0,Добродетельный богач,The Virtuous Rich Man,na,1,Отд. изд.,Москва,1791,нравоучительный,,н/д,,нравоучительный,воспитания,ADJF NOUN,2,0,,,,,
"Горчаков, Дмитрий Петрович",мужской,0,Пламир и Раида,Plamir and Raida,Российская повесть,1,Отд. изд.,Москва,1796,любовный,"дворяне, помещики",3 лицо,,любовный,любовный,NOUN CONJ NOUN,3,0,,,,,
"Горький, Максим",мужской,1,Фома Гордеев,Foma Gordeyev,,0,Жизнь,,1899,социально-психологический,"разночинцы (капиталисты, буржуа?)",3 лицо,gorkij_m_foma_gordeev_1899.xml,социально-психологический,социально-психологический,NOUN NOUN,2,1,социально-психологический,идеологический,нравоописательный,,
"Горький, Максим",мужской,1,Трое,Three,Повесть М. Горького,0,Жизнь,,1900,"социально-психологический, уголовный","рабочие (свободные), криминальный мир, духовенство",3 лицо,gorkij_m_troe_1900.xml,социально-психологический,социально-психологический,NUMR,1,1,социально-психологический,уголовный,идеологический,,
"Горький, Максим",мужской,1,Мать,The Mother,повесть,0,Знание,,1907,"социально-психологический, революционеры, рабочие, крестьяне",крестьяне,3 лицо,gorkij_m_mat_1907.xml,социально-психологический,социально-психологический,NOUN,1,1,социально-психологический,идеологический,политический,,
Горький Максим,мужской,1,Дело Артамоновых,The Artamonov Business,Роман,1,Отд.изд.,Берлин,1925,роман-эпопея,"крестьяне,рабочие,мещане",3 лицо,,эпопея,исторический,NOUN NOUN,2,0,,,,,
Горький Максим,мужской,1,Жизнь Клима Самгина,The Life of Klim Samgin,Роман-эпопея,1,Отд.изд.,Берлин; М.,1927,"роман-эпопея, интеллигенция, рабочие, революционеры",интеллигенция,,,эпопея,исторический,NOUN NOUN NOUN,3,0,,,,,
Горянский Валентин Иванович,мужской,1,Необычайные приключения Боба,The Extraordinary Adventures of Bob,Юмористический роман,1,Отд.изд.,Хорватия,1923,"юмористический, детский",,,,юмористический,юмористический,ADJF NOUN NOUN,3,0,,,,,
Горянский Валентин Иванович,мужской,1,Парфандр и Глафира,Parfandr and Glafira,Роман в стихах,1,Отд.изд.,Париж,1956,"любовный, влюбленные",,,,любовный,любовный,NOUN CONJ NOUN,3,0,,,,,
Грааль-Арельский,мужской,1,Враг Птоломея,The Enemy of Ptolemy,?,1,Отд. Изд,Л,1928,биографический,ученые,,,биографический,биографический,NOUN NOUN,2,0,,,,,
Граф Амори,мужской,1,1905 - кровавый год,1905: The Bloody Year,роман,1,Отд. изд.,Санкт-Петербург,1906,"политический, роман-хроника, освободительные движения",,,,политический,социальный,NUMR ADJF NOUN,4,0,,,,,
Граф Амори,мужской,1,Золото и кровь,Gold and Blood,роман из современной жизни,1,Отд. изд.,Санкт-Петербург,1912,"авантюрный, уголовный, любовный","купцы, разночинцы",,,авантюрный,приключенческий,NOUN CONJ NOUN,3,0,,,,,
Граф Амори,мужской,1,Любовные похождения мадам Вербицкой,The Amorous Adventures of Madame Verbitskaya,роман,1,Отд. изд.,Санкт-Петербург,1913,любовный,,,,любовный,любовный,ADJF NOUN NOUN NOUN,4,0,,,,,
Граф Амори,мужской,1,Рабы страсти,Slaves of Passion,роман,1,Отд. изд.,Санкт-Петербург,1913,уголовный роман,Аристократы,,,уголовный,криминальный,NOUN NOUN,2,0,,,,,
Граф Амори,мужской,1,Дочь Вильгельма II. Придворный скандал,The Daughter of Wilhelm II: A Court Scandal,роман,1,Отд. изд.,Санкт-Петербург,1914,"исторический, любовный",аристократия прошлого,,,исторический,исторический,NOUN NOUN NUMR ADJF NOUN,5,0,,,,,
Граф Амори,мужской,1,Сановные шалости,High-Ranking Follies,роман,1,Отд. изд.,Санкт-Петербург,1915,"авантюрно-любовный, эротический",аристократы,,,авантюрный,приключенческий,ADJF NOUN,2,0,,,,,
Граф Амори,мужской,1,Тайны японского двора,The Mysteries of the Japanese Court,роман,1,Свет,Санкт-Петербург,1904,авантюрно-приключенческий,аристократы,3 лицо,rapgof_i_tajny_yaponskogo_dvora_1904.xml,авантюрный,приключенческий,NOUN ADJF NOUN,3,0,авантюрный,приключенческий,экзотический,исторический,
Граф Амори,мужской,1,Побежденные,The Vanquished,"окончание романа ""Ключи счастья"" А. Вербицкой",1,Отд. изд.,Санкт-Петербург,1912,любовный,,3 лицо,,любовный,любовный,PRTF,1,0,,,,,
Граф Амори,мужской,1,Банкир-преступник,The Banker-Criminal,роман,1,Отд. изд.,Санкт-Петербург,1913,,купцы/помещики,3 лицо,,,,NOUN,1,0,,,,,
Граф Амори,мужской,1,Финал,The Finale,Роман из современной жизни,1,Отд. изд.,Санкт-Петербург,1913,социально-психологический,проститутки,3 лицо,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
Граф Амори,мужской,1,Возвращение Санина,The Return of Sanin,роман,1,Отд. изд.,Петроград,1914,"философский, любовный, драма","интеллигенция, провинциалы, военные",3 лицо,,философский,философский,NOUN NOUN,2,0,,,,,
Граф Амори,мужской,1,Тайны Апраксина двора,The Mysteries of the Apraksin Yard,Роман из недавнего прошлого и настоящего,1,Отд. изд.,Санкт-Петербург,1914,приключенческий,,3 лицо,,приключенческий,приключенческий,NOUN NOUN NOUN,3,0,,,,,
"Гребёнка, Евгений Павлович",мужской,0,Чайковский,Tchaikovsky,Роман,0,Отечественные записки,,1843,исторический,военные,1 лицо,grebenka_e_chajkovskij_1843.xml,исторический,исторический,NOUN,1,0,исторический,авантюрный,,,
"Гребёнка, Евгений Павлович",мужской,0,Доктор,The Doctor,повесть,0,Отечественные записки,,1844,социально-психологический,дворяне,3 лицо,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
Гребенщиков Георгий Дмитриевич,мужской,0,Чураевы,The Churayevs,?,1,Собрание сочинений. Т. 1—6.,Париж,1922,"семейный, социально-психологический, крестьяне",крестьяне,3 лицо,,семейный,семейный,NOUN,1,0,,,,,
"Греч, Николай Иванович",мужской,0,Поездка в Германию,A Journey to Germany,Роман в письмах,1,Отд. изд.,Санкт-Петербург,1831,социально-психологический,дворяне,1 лицо,,социально-психологический,социально-психологический,NOUN PREP NOUN,3,0,,,,,
"Греч, Николай Иванович",мужской,0,Черная женщина,The Black Woman,роман,1,Отд. изд.,Санкт-Петербург; Москва,1834,социально-психологический,Дворяне,3 лицо,grech_a_chernaya_zhenshina_1834.xml,социально-психологический,социально-психологический,ADJF NOUN,2,0,готический,социально-психологический,мистический,авантюрный,
"Грибоедов, И.",мужской,0,"София Кучко, или Любовь и мщение","Sophia Kuchko, or Love and Revenge",Исторический роман XII столетия,1,Отд. изд.,Москва,1836,исторический роман,"бояре, аристократия А. Боголюбского",3 лицо,,исторический,исторический,NOUN NOUN CONJ NOUN CONJ NOUN,6,0,,,,,
"Григорович, Дмитрий Васильевич",мужской,0,Проселочные дороги,Country Roads,Роман без интриги,0,Отечественные записки,,1852,социально-психологический,"Дворяне, крестьяне",3 лицо,grigorovich_d_proselochnye_dorogi_1852.xml,социально-психологический,социально-психологический,ADJF NOUN,2,0,социально-психологический,бытовой,,,
"Григорович, Дмитрий Васильевич",мужской,0,Рыбаки,The Fishermen,Роман из простонародного быта,0,Современник,,1853,социально-психологический,"Крестьяне, дворяне",3 лицо,grigorovich_d_rybaki_1853.xml,социально-психологический,социально-психологический,NOUN,1,1,социально-психологический,роман-идиллия,бытовой,этнографический,крестьянский
"Григорович, Дмитрий Васильевич",мужской,0,Переселенцы,The Settlers,Роман из народного быта,0,Отечественные записки,,1855,социально-психологический,"крестьяне, помещики",1 лицо,grigorovich_d_pereselenzy_1855.xml,социально-психологический,социально-психологический,NOUN,1,1,социально-психологический,бытовой,крестьянский,этнографический,
"Григорович, Дмитрий Васильевич",мужской,0,Два генерала,Two Generals,Эпизод из романа,0,Русский вестник,,1864,социально-психологический,Дворяне,1 лицо,grigorovich_d_dva_generala_1864.xml,социально-психологический,социально-психологический,NUMR NOUN,2,0,социально-психологический,бытовой,,,
"Григорович, Дмитрий Васильевич",мужской,0,Петербург прошлого времени,Petersburg of the Past,роман,1,Русская мысль,Москва,1887,"социально-психологический, петербург",горожане Петербурга,1 лицо,,социально-психологический,социально-психологический,NOUN NOUN NOUN,3,0,,,,,
"Григорьев, Р.",женский,1,Недавнее,Recent Events,роман,0,Современный мир,,1915,социально-психологический,интеллигенция,,,социально-психологический,социально-психологический,ADJF,1,0,,,,,
"Григорьев, Р.",женский,1,На ущербе,On the Wane,роман,1,Отд. изд.,Санкт-Петербург,1913,исторический,"Интеллигенция, пролетариат",3 лицо,lemberg_r_na_usherbe_1913.xml,исторический,исторический,PREP NOUN,2,0,исторический,социально-психологический,,,
Грин Александр Степанович,мужской,1,Блистающий мир,The Shining World,роман,1,Отд. Изд,Москва,1924,"приключенческий, фантастический, символистский",,3 лицо,,приключенческий,приключенческий,PRTF NOUN,2,0,,,,,
Грин Александр Степанович,мужской,1,Золотая цепь,The Golden Chain,роман,1,Новый мир,Москва,1925,"социально-психологический, приключенческий",моряки,1 лицо,,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
Грин Александр Степанович,мужской,1,Бегущая по волнам,She Who Runs on the Waves,роман,1,Отд. Изд,М.-Л,1928,"любвный, фантастический","пианист, незнакомка",1 лицо,,любовный,любовный,PRTF PREP NOUN,3,0,,,,,
Грин Александр Степанович,мужской,1,Джесси и Моргиана,Jessie and Morgiana,роман,1,Отд. Изд,Л.,1929,социально-психологический,аристократия,3 лицо,,социально-психологический,социально-психологический,NOUN CONJ NOUN,3,0,,,,,
Грин Александр Степанович,мужской,1,Дорога никуда,The Road to Nowhere,роман,1,Отд. Изд,М.,1930,"философский, фантастический",,3 лицо,,философский,философский,NOUN ADVB,2,0,,,,,
"Гринев, Сергей Апполонович",мужской,0,Повстанцы,The Insurgents,Роман из времени польского восстания 1863 г.,1,Отд. изд.,Киев,1894,исторический роман; польское восстание 1863 г.,,,,исторический,исторический,NOUN,1,0,,,,,
"Гриневич, Н.",мужской,0,На заре жизни,At the Dawn of Life,Роман,1,Русское богатство,Санкт-Петербург,1883,исторический,,3 лицо,,исторический,исторический,PREP NOUN NOUN,3,0,,,,,
"Громов, Алексей Матвеевич",мужской,0,Девичьи сны,A Maiden's Dreams,роман,1,Отд. изд.,Москва,1913,"психологический, любовный",,,,психологический,психологический,ADJF NOUN,2,0,,,,,
Громов Алексей Матвеевич,мужской,0,Огни погасли,The Lights Went Out,роман,1,Отд. изд.,Москва,1918,"психологический, любовный",,,,психологический,психологический,NOUN VERB,2,0,,,,,
Гумилевский Лев Иванович,мужской,0,Эмигранты,The Emigrants,Роман,1,Отд. Изд,Саратов,1922,"социально-психологический, аристократы",,,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
Гумилевский Лев Иванович,мужской,0,Харита,Kharita,Роман,1,Отд. Изд,Москва,1926,детский,дети,,,детский,детский,NOUN,1,0,,,,,
Гумилевский Лев Иванович,мужской,0,Черный яр,The Black Cliff,Роман,1,Отд. Изд,Москва,1926,детский,дети,,,детский,детский,NOUN ADJS,2,0,,,,,
Гумилевский Лев Иванович,мужской,0,Собачий переулок,Dog Lane,Роман,1,Отд. Изд,Ленинград,1927,социально-психологический,пролетариат,3 лицо,,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
"Гуревич, Любовь Яковлевна",женский,0,Плоскогорье,The Plateau,роман,0,Северный Вестник,,1895,социально-психологический,Интелигенция,3 лицо,gurevich_l_ploskogore_1895.xml,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Гурьянов, Иван Гавриилович",мужской,0,"Дмитрий Иоаннович Донской, или Ужасное Мамаево Побоище","Dmitry Ioanovich Donskoy, or The Terrible Battle of Kulikovo",повесть XIV столетия,1,Отд. изд.,Москва,1847,исторический роман,"легендарная историческая фигура - князь, Дмитрий Донской",3 лицо,,исторический,исторический,NOUN NOUN ADJF CONJ ADJF ADJF NOUN,7,0,,,,,
"Гурьянов, Иван Гавриилович",мужской,0,"Илья Пройдохин. Открытая тайна на некоторых, или горе от ума или горе без ума","Ilya Proidokhin: An Open Secret about Certain People, or Woe from Wit or Woe without Wit","Нравстенно сатирический роман, сочиненный Иваном Гурьяновым",1,Отд. изд.,Москва,1831,"нравоописательный, сатирический","дворяне, [отсылки к Горе от ума]",1 лицо,,нравоописательный,описательный,NOUN NOUN ADJF NOUN PREP ADJF CONJ ADVB PREP NOUN CONJ ADVB PREP NOUN,14,0,,,,,
"Гурьянов, Иван Гавриилович",мужской,0,"Марина Мнишех, Княжна Сандомирская","Marina Mniszech, Princess of Sandomierz","Исторический роман, относящийся ко временам царя Бориса Годунова, Лжедмитрия, царя Василия Шуйского и междуцарствия, служащий дополнением романа: Дмитрий Самозванец.",1,Отд. изд.,Москва,1831,исторический,дворяне,3 лицо,guryanov_i_marina_mnishekh_knyazhna_sandomirskaya_1831.xml,исторический,исторический,NOUN NOUN NOUN ADJF,4,0,исторический,авантюрный,любовный,биографический,
"Гурьянов, Иван Гавриилович",мужской,0,Новый Выжигин на Макарьевской ярмарке,A New Vyzhigin at the Makariev Fair,Нравоописательный роман XIX века,1,Отд. изд.,Москва,1831,"сатирический, бытовой",купцы,3 лицо,,сатирический,юмористический,ADJF NOUN PREP ADJF NOUN,5,0,,,,,
"Гусев, Сергей Сергеевич",мужской,0,Иван Николаевич Истуканов,Ivan Nikolaevich Istukanov,na,1,Саратовский листок,Саратов,1875,социально-психологический,разночинцы,,,социально-психологический,социально-психологический,NOUN NOUN NOUN,3,0,,,,,
Гусев-Оренбургский Сергей Иванович,мужской,0,Страна детей,The Land of Children,Роман,1,Отд. изд.,Лондон,1928,исторический,аристократия,,,исторический,исторический,NOUN NOUN,2,0,,,,,
"Дан, Фёдор Ильич",мужской,0,Юлиан Отступник,Julian the Apostate,Исторический роман,0,Наблюдатель,,1894,исторический,,3 лицо,,исторический,исторический,NOUN NOUN,2,0,,,,,
"Данилевский (А. Скавронский), Григорий Петрович",мужской,0,Беглые в Новороссии,Fugitives in New Russia,Повесть в двух частях,0,Время,,1862,социально-психологический,крестьяне,3 лицо,danilevskij_g_beglye_v_novorossii_1862.xml,социально-психологический,социально-психологический,ADJF PREP NOUN,3,0,социально-психологический,этнографический,бытовой,,
"Данилевский (А. Скавронский), Григорий Петрович",мужской,0,Беглые воротились,The Fugitives Returned,Роман в трех частях,0,Время,,1863,социально-психологический,Крестьяне,3 лицо,danilevskij_g_beglye_vorotilis_1863.xml,социально-психологический,социально-психологический,ADJF VERB,2,0,социально-психологический,этнографический,бытовой,,
"Данилевский, Григорий Петрович",мужской,0,Новые места,New Places,Роман в двух частях,0,Русский вестник,,1867,бытовой,крестьяне,3 лицо,,бытоописательный,описательный,NOUN NOUN,2,0,,,,,
"Данилевский, Григорий Петрович",мужской,0,Мирович,Mirovich,Исторический роман в трех частях,0,Вестник Европы,,1877,исторический,легендарные исторические фигуры,3 лицо,danilevskij_g_mirovich_1877.xml,исторический,исторический,NOUN,1,0,исторический,авантюрный,психологический,,
"Данилевский, Григорий Петрович",мужской,0,Княжна Тараканова,Princess Tarakanova,"Историческая повесть, в 2 частях",0,Вестник Европы,,1883,исторический,"дворяне, легендарные исторические фигуры, Романовы",1 лицо,danilevskij_g_knyazhna_tarakanova_1883.xml,исторический,исторический,NOUN NOUN,2,0,исторический,биографический,авантюрный,,
"Данилевский, Григорий Петрович",мужской,0,Сожженная Москва,Moscow in Flames,Роман,0,Русская мысль,,1886,исторический,Офицеры,3 лицо,danilevskij_g_sozhzhennaya_moskva_1886.xml,исторический,исторический,PRTF NOUN,2,0,исторический,военный,бытовой,,
"Данилевский, Григорий Петрович",мужской,0,Черный год,The Black Year,роман,0,Русская мысль,,1888,исторический,легендарные исторические фигуры,3 лицо,,исторический,исторический,NOUN NOUN,2,0,,,,,
"Данилевский, Григорий Петрович",мужской,0,Царевич Алексей,Tsarevich Alexei,,0,Русская мысль,,1892,исторический,"аристократия прошлого, легендарные исторические фигуры",3 лицо,,исторический,исторический,NOUN NOUN,2,0,,,,,
"Данилевский, Григорий Петрович",мужской,0,Девятый вал,The Ninth Wave,Роман в трех частях,0,Вестник Европы,,1874,роман воспитания,,,,воспитания,воспитания,ADJF NOUN,2,0,,,,,
"Данилин, Иван Андреевич",мужской,0,Николай Жаров,Nikolai Zharov,Роман,0,Москвская газета копейка,,1911,социально-психологический,рабочие,,,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Данковский, Е.",мужской,1,Портретная галерея,The Portrait Gallery,Роман,0,Отечественные записки,,1856,"любовно-авантюрный роман, разорение дворянства, дворянство, помещичьи имения, дельцы, вольноотпущенник",,,,любовный,любовный,ADJF NOUN,2,0,,,,,
"Санглен, Яков Иванович, де",мужской,0,"Рыцарская клятва на гробе, или Два портрета","A Knightly Oath at the Tomb, or Two Portraits",русский роман из времен меченосцев,1,Отд. изд.,Москва,1832,"исторический, авантюрный",аристократия прошлого,3 лицо,,исторический,исторический,ADJF NOUN PREP NOUN CONJ NUMR NOUN,7,0,,,,,
"Де-Воллан, Григорий Александрович",мужской,0,Отто фон Нейзан,Otto von Neuzan,na,0,"Карпат [газета, г. Пешт, Венгрия]",,1873,социально-психологический,Аристократы,,,социально-психологический,социально-психологический,NOUN PRCL NOUN,3,0,,,,,
Де-Воллан Григорий Александрович,мужской,0,Полная чаша. Из семейной хроники Ногайцевых,A Full Cup: From the Family Chronicle of the Nogaitsevs,Роман,0,Русское богатство,,1920,политический,разночинцы,,,политический,социальный,ADJF NOUN PREP ADJF NOUN NOUN,6,0,,,,,
"Демерт, Николай Александрович",мужской,0,Черноземные силы,Black-Earth Forces,Отрывок из неоконченного романа,1,Невский сборник,Санкт-Петербург,1867,"социально-политический, крестьяне",крестьяне,3 лицо,demert_n_chernozemnye_sily_1867.xml,социальный,социальный,ADJF NOUN,2,0,политический,крестьянский,бытовой,,
"Дингельштедт, Николай Федорович, фон",мужской,0,Жертвы страсти (Тангейзер нашего времени),Victims of Passion (A Tannhauser of Our Time),Роман,1,Отд. изд.,Санкт-Петербург,1900,светский,,,,светский,светский,NOUN NOUN NOUN ADJF NOUN,5,0,,,,,
"Дмитревский, Михаил Иванович",мужской,0,"Иван Сусанин, или Смерть за царя","Ivan Susanin, or Death for the Tsar",исторический роман,1,Отд. изд.,Москва,1839,исторический,"крестьяне, Сусанин",3 лицо,,исторический,исторический,NOUN NOUN CONJ NOUN PREP NOUN,6,0,,,,,
"Дмитриев, Александр Иванович",мужской,0,Слава русских и горе шведов,The Glory of the Russians and the Woe of the Swedes,,1,Отд. изд.,Санкт-Петербург,1790,исторический,"военные, дворяне",1 лицо,,исторический,исторический,NOUN ADJF CONJ ADVB NOUN,5,0,,,,,
"Дмитриев, Дмитрий Савватиевич",мужской,0,Золотой век,The Golden Age,Исторический роман из царствования императрицы Екатерины II. В двух частях,1,Отд. изд.,Москва,1902,исторический,дворяне,3 лицо,dmitriev_d_zolotoj_vek_1902.xml,исторический,исторический,ADJF ADVB,2,0,исторический,утопический,философский,идеологический,
"Дмитриев, Дмитрий Савватиевич",мужской,0,Государева невеста,The Tsar's Bride,Роман Д. Дмитриева,1,Отд. изд.,Москва,1899,"исторический, придворные",,,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Дмитриев, Дмитрий Савватиевич",мужской,0,Иван Мазепа,Ivan Mazepa,Исторический роман времен Петра I,1,Отд. изд.,Москва,1899,"исторический, военные",,,,исторический,исторический,NOUN NOUN,2,0,,,,,
"Дмитриев, Дмитрий Савватиевич",мужской,0,Таинственный дом,The Mysterious House,Исторический роман из эпохи императрицы Екатерины Великой,1,Отд. изд.,Москва,1901,исторический,дворяне,,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Дмитриев, Дмитрий Савватиевич",мужской,0,Змей огненный,The Fiery Serpent,роман,1,Отд. изд.,Москва,1904,"исторический, придворные",,,,исторический,исторический,NOUN ADJF,2,0,,,,,
"Дмитриев, Дмитрий Савватиевич",мужской,0,Полудержавный властелин,The Half-Sovereign Ruler,исторический роман,1,Отд. изд.,Москва,1905,"исторический, придворные",,,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Дмитриев, К.",мужской,0,"Не в силе Бог, а в правде",God Is Not in Might but in Right,исторический роман из времен Иоанна III,1,Отд. изд.,Санкт-Петербург,1890,исторический,аристократия прошлого,3 лицо,dmitriev_k_ne_v_sile_bog_a_v_pravde_1890.xml,исторический,исторический,PRCL PREP NOUN NOUN CONJ PREP NOUN,7,0,исторический,религиозный,идеологический,,
"Добров, Ф.",мужской,1,"Владимир Красное Солнышко, или девятьсот лет назад","Vladimir the Fair Sun, or Nine Hundred Years Ago",роман,1,Отд. изд.,Санкт-Петербург,1888,исторический,"аристократия прошлого, легендарные исторические фигуры",,,исторический,исторический,NOUN ADJF NOUN CONJ NUMR NOUN ADVB,7,0,,,,,
"Добров, Ф.",мужской,1,Перст судьбы,The Finger of Fate,роман,1,Отд. изд.,Санкт-Петербург,1888,социальный,разночинцы,,,социальный,социальный,NOUN NOUN,2,0,,,,,
"Добронравов, Леонид Михайлович",мужской,0,Новая бурса,The New Seminary,роман,1,Заветы,Санкт-Петербург,1913,,духовенство/священники,,,,,ADJF NOUN,2,0,,,,,
"Доганович, Анна Никитична",женский,0,Печальник земли русской,The Mourner of the Russian Land,Историческая повесть: для школьного и семейного чтения,1,Отд. изд.,Санкт-Петербург,1886,исторический,"легендарные исторические фигуры, духовенство",3 лицо,,исторический,исторический,NOUN NOUN ADJF,3,0,,,,,
"Долгов, К.",мужской,0,На новом пути,On a New Path,Роман,0,Дело,,1871,исторический,,,,исторический,исторический,PREP ADJF NOUN,3,0,,,,,
"Долинский, Александр",мужской,0,Три сердца,Three Hearts,Сочинение Александра Долинского,1,Отд. изд.,Москва,1835,любовный,Дворяне,1 лицо,,любовный,любовный,NUMR NOUN,2,0,,,,,
"Долинский, Александр",мужской,0,Страсть и мщение,Passion and Vengeance,роман,1,Отд. изд.,Москва,1836,светский,дворяне,3 лицо,,светский,светский,NOUN CONJ NOUN,3,0,,,,,
"Долинский, Александр",мужской,0,"Жизнь сердца, или как любят женщины?","The Life of the Heart, or How Do Women Love?",,1,Отд. изд.,Москва,1839,любовный,дворяне,1 лицо,,любовный,любовный,NOUN NOUN CONJ CONJ VERB NOUN,6,0,,,,,
"Достоевский, Михаил Михайлович",мужской,0,Брат и сестра,Brother and Sister,Эпизод из романа,0,Пантеон,,1852,роман,,3 лицо,,,,NOUN CONJ NOUN,3,0,,,,,
"Достоевский, Федор Михайлович",мужской,0,Бедные люди,Poor Folk,Роман,1,Петербургский сборник,Санкт-Петербург,1846,социально-психологический,"чиновники, разночинцы",в письмах,dostoevskij_f_bednye_lyudi_1846.xml,социально-психологический,социально-психологический,ADJF NOUN,2,1,социально-психологический,сентиментальный,эпистолярный,,
"Достоевский, Федор Михайлович",мужской,0,Неточка Незванова,Netochka Nezvanova,История одной женищны,0,Отечественные записки,,1849,социально-психологический,разночинцы,1 лицо,dostoevskij_f_netochka_nezvanova_1849.xml,социально-психологический,социально-психологический,NOUN ADJS,2,1,социально-психологический,роман воспитания,,,
"Достоевский, Федор Михайлович",мужской,0,Униженные и оскорбленные,Humiliated and Insulted,Роман в четырех частях,0,Время,,1861,социально-психологический,князь,1 лицо,dostoevskij_f_unizhennye_i_oskorblennye_1861.xml,социально-психологический,социально-психологический,PRTF CONJ PRTF,3,1,социально-психологический,семейный,любовный,,
"Достоевский, Федор Михайлович",мужской,0,Игрок,The Gambler,Роман (Из записок молодого человека),1,Отд. изд. (СС),Санкт-Петербург,1866,социально-психологический,чиновники,1 лицо,dostoevskij_f_igrok_1866.xml,социально-психологический,социально-психологический,NOUN,1,1,социально-психологический,любовный,,,
"Достоевский, Федор Михайлович",мужской,0,Преступление и наказание,Crime and Punishment,Роман,0,Русский вестник,,1866,социальально-психологический,рабочие,3 лицо,dostoevskij_f_prestuplenie_i_nakazanie_1866.xml,социально-психологический,социально-психологический,NOUN CONJ NOUN,3,1,социально-психологический,философский,идеологический,уголовный,
"Достоевский, Федор Михайлович",мужской,0,Идиот,The Idiot,Роман,0,Русский вестник,,1868,социально-психологический,"Дворяне, мещане",3 лицо,dostoevskij_f_idiot_1868.xml,социально-психологический,социально-психологический,NOUN,1,1,социально-психологический,философский,идеологический,,
"Достоевский, Федор Михайлович",мужской,0,Бесы,Demons,Роман,0,Русский вестник,,1871,роман,"дворяне, нигилисты, разночинцы",3 лицо,dostoevskij_f_besy_1871.xml,,,NOUN,1,1,антинигилистический,философский,идеологический,психологический,
"Достоевский, Федор Михайлович",мужской,0,Подросток,The Adolescent,Роман,1,Отечественные записки,Санкт-Петербург,1875,социально-психологический,дворяне,1 лицо,dostoevskij_f_podrostok_1875.xml,социально-психологический,социально-психологический,NOUN,1,1,роман воспитания,социально-психологический,идеологический,,
"Достоевский, Федор Михайлович",мужской,0,Братья Карамазовы,The Brothers Karamazov,Роман,1,Русский вестник,Москва,1879,"социально-психологический, философский",дворяне,3 лицо,dostoevskij_f_bratya_karamazovy_1879.xml,социально-психологический,социально-психологический,NOUN NOUN,2,1,философский,психологический,семейный,религиозный,детективный
"Дриянский, Егор Эдуардович",мужской,0,Туз,The Ace,Жизнеописание Антона Антоновича: Роман в 4 ч,1,Отд. изд.,Москва,1867,социально-психологический,буржуазия,,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Дружинин, Александр Васильевич",мужской,0,Жюли,Julie,роман,0,Современник,,1849,роман,,3 лицо,,,,NOUN,1,0,,,,,
"Дружинин, Александр Васильевич",мужской,0,Прошлое лето в деревне,Last Summer in the Country,,0,Русский вестник,,1862,социально-психологический,дворяне,1 лицо,druzhinin_a_proshloe_leto_v_derevne_1862.xml,социально-психологический,социально-психологический,NOUN NOUN PREP NOUN,4,0,социально-психологический,бытовой,,,
"Дубровина, Екатерина Оскаровна",женский,0,Заслуженная кара,A Deserved Punishment,Исторический роман времен Аракчеева,1,Отд. изд.,Санкт-Петербург,1891,исторический роман,"графы, князья, аристократия",3 лицо,,исторический,исторический,PRTF NOUN,2,0,,,,,
