author,gender,pseudonym,title,title_en,subtitle,year_begin,source,sep_edition,city,genre,characters,narration,main_genre,general_genre,POS_title,title_length,canon_status,genre1,genre2,genre3,genre4,genre5
"Мельников-Печерский, Павел Иванович",мужской,1,В лесах,In the Forests,"Продолжение рассказа ""За Волгой""",1871,Русский вестник,0,,,"раскольники, крестьяне, купцы/промышленники",3 лицо,,,PREP NOUN,2,0,этнографический,бытовой,религиозный,хроникальный,
"Анненская, Александра Никитична",женский,0,Чужой хлеб,Another's Bread,Роман для детей,1871,Семья и школа,0,,социальная повесть,крестьяне,3 лицо,социальный,социальный,ADJF NOUN,2,0,социально-психологический,бытовой,роман воспитания,,
"Чистяков, Михаил Борисович",мужской,0,"Святослав, князь Липецкий","Svyatoslav, Prince of Lipetsk",повесть,1871,Отд. изд.,1,Санкт-Петербург,историческая повесть,аристократия прошлого,3 лицо,исторический,исторический,NOUN NOUN ADJF,3,0,исторический,авантюрный,,,
"Лермонтов, Владимир Дмитриевич",мужской,0,Неслужащий дворянин,The Retired Nobleman,Роман в двух частях,1871,Заря,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
"Зарубин, Павел Алексеевич",мужской,0,Тёмные и светлые стороны русской жизни,The Dark and Bright Sides of Russian Life,Роман,1872,Отд. изд.,1,Санкт-Петербург,автобиографический,мещане,3 лицо,автобиографический,биографический,ADJF CONJ ADJF NOUN ADJF NOUN,6,0,,,,,
Неженатый Серафим,мужской,1,От поцелуя к поцелую,From Kiss to Kiss,Роман,1872,Отд. изд.,1,Санкт-Петербург,сатирический роман,чиновники,3 лицо,сатирический,юмористический,PREP NOUN PREP NOUN,4,0,,,,,
"Боборыкин, Петр Дмитриевич",мужской,0,Дельцы,The Businessmen,Роман в четырех книгах,1872,Отечественные записки,0,,соц.-психологический,молодая буржуазия,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Ромер, Федор Эмильевич",мужской,0,Дилетанты,The Dilettantes,Роман,1872,Вестник Европы,0,,соц.-психологический,революционеры,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Чаев, Николай Александрович",мужской,0,Богатыри,The Bogatyrs,Роман в трех частях из времен императора Павла,1872,Беседа,0,,"историческая повесть, xviii в., времена павла i",аристократия прошлого,3 лицо,исторический,исторический,NOUN,1,0,,,,,
"Авсеенко, Василий Григорьевич",мужской,0,Из-за благ земных,For the Sake of Earthly Goods,Роман в 3 частях,1872,Русский вестник,1,Москва,психологический роман,дворяне,3 лицо,психологический,психологический,PREP NOUN ADJF,3,0,социально-психологический,светский,нравоописательный,,
"Смирнова, Софья Ивановна",женский,0,Соль земли,The Salt of the Earth,Роман,1872,Отечественные записки,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Преображенский, Н.С.",мужской,0,Из кулька в рогожку,From the Frying Pan into the Fire,Роман,1872,Дело,0,,социально-психологический,духовенство,3 лицо,социально-психологический,социально-психологический,PREP NOUN PREP NOUN,4,0,,,,,
"Альминский, П.",мужской,1,Алексей Слободин,Aleksei Slobodin,Семейная история,1872,Вестник Европы,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Лесков, Николай Семенович",мужской,0,Соборяне,Cathedral Folk,Старгородская хроника,1872,Русский вестник,0,,психологический роман,духовенство,3 лицо,психологический,психологический,NOUN,1,1,социально-психологический,социально-психологический,бытовой,,
"Ахшарумов, Николай Дмитриевич",мужской,0,Концы в воду,Into the Water with the Evidence,роман,1872,Отечественные записки,0,,детективный роман,криминальный мир,1 лицо,детективный,криминальный,NOUN PREP NOUN,3,0,детективный,социально-психологический,уголовный,,
"Ковнер, Аркадий Григорьевич",мужской,0,Вне колеи,Off the Track,Роман в четырех книгах,1872,Библиотека дешевая общедоступная,0,,социальный роман,разночинцы,3 лицо,социальный,социальный,PREP NOUN,2,0,,,,,
"Бажин, Николай Федотович",мужской,0,Зовет...,It Calls...,Записки Семена Долгого. Роман,1872,Дело,0,,социальный роман,разночинцы,1 лицо,социальный,социальный,VERB,1,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Самокрутка,The Self-Made Bride,Историческая повесть в двух частях,1872,Отд. изд. (СС),1,Санкт-Петербург,"историческая повесть, xviii в.",,3 лицо,исторический,исторический,NOUN,1,0,исторический,авантюрный,любовный,бытовой,
"Зотов, Рафаил Михайлович",мужской,0,Последний потомок Чингис-хана,The Last Descendant of Genghis Khan,Роман в трех частях,1872,Иллюстрированная газета,0,,биографический,военные и аристократы,3 лицо,биографический,биографический,ADJF NOUN NOUN,3,0,,,,,
"Каразин, Николай Николаевич",мужской,0,На далеких окраинах,On Distant Frontiers,Роман,1872,Дело,0,,ориенталистский,офицеры,3 лицо,ориенталистский,ориенталистский,PREP ADJF NOUN,3,0,этнографический,приключенческий,ориенталистский,,
"Клюшников, Виктор Петрович; Петров, Петр Николаевич",мужской,0,Семья вольнодумцев,A Family of Freethinkers,Роман Екатерининского времени,1872,Нива,0,,роман о нигилистах,нигилисты,3 лицо,антинигилистический,социальный,NOUN NOUN,2,0,антинигилистический,идеологический,семейный,,
"Смирнова, Софья Ивановна",женский,0,Попечитель учебного округа,The Superintendent of the Educational District,Роман в трех частях,1873,Отечественные записки,0,,исторический,гос. чиновники,,исторический,исторический,NOUN ADJF NOUN,3,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Пугачевцы,The Pugachevites,Исторический роман,1873,Гражданин; Русский вестник,0,,исторический,"военные, казаки",3 лицо,исторический,исторический,NOUN,1,0,исторический,авантюрный,приключенческий,,
"Боборыкин, Петр Дмитриевич",мужской,0,Полжизни,Half a Life,Роман в двух книгах,1873,Вестник Европы,0,,соц.-психологический,студенты,1 лицо,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Лермонтов, Михаил Юрьевич",мужской,0,Вадим,Vadim,,1873,Вестник Европы,0,,исторический,"помещики, крестьяне",3 лицо,исторический,исторический,NOUN,1,1,исторический,готический,психологический,,
"Филиппов, Михаил Авраамович",мужской,0,Рассвет,Dawn,Роман М.А. Филиппова,1873,Отд. изд.,1,Санкт-Петербург,социальный,дворяне,3 лицо,социальный,социальный,NOUN,1,0,,,,,
"Маркевич, Болеслав Михайлович",мужской,0,Марина из Алого рога,Marina of Alyi Rog,Современная быль,1873,Русский вестник,0,,исторический,малоросские дворяне,3 лицо,исторический,исторический,NOUN PREP ADJF NOUN,4,0,антинигилистический,светский,идеологический,нравоописательный,
"Евстигнеев, Михаил Евдокимович",мужской,0,Сын нищего,The Beggar's Son,Роман из староверского быта : В 2 частях,1873,Отд. изд.,1,Москва,детективный,духовенство,,детективный,криминальный,NOUN ADJF,2,0,,,,,
"Альбов, Михаил Николаевич",мужской,0,Пшеницыны,The Pshenitsyns,Из истории забитых людей,1873,Дело,0,,соц.-психологический роман,чиновники,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,социально-психологический,семейный,бытовой,,
"Мещерский, Владимир Петрович",мужской,0,Женщины из большого петербургского света,Women of Petersburg High Society,Оригинальный роман в 3 частях,1873,Гражданин,0,,светский,дворяне,3 лицо,светский,светский,NOUN PREP ADJF ADJF NOUN,5,0,,,,,
"Филиппов, Михаил Авраамович",мужской,0,Скорбящие,The Mourning,Роман М.А. Филиппова,1873,Отд. изд.,1,Санкт-Петербург,,,,,,PRTF,1,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Розы и тернии,Roses and Thorns,,1873,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN CONJ NOUN,3,0,,,,,
"Марков, Владислав Львович",мужской,0,Курские порубженики,The Border Folk of Kursk,Исторический роман,1873,Русский вестник,0,,"исторический,",монахи,3 лицо,исторический,исторический,ADJF NOUN,2,0,исторический,этнографический,,,
"Станюкович, Константин Михайлович",мужской,0,Без исхода,Without a Way Out,Роман,1873,Дело,0,,народнический,дворяне,3 лицо,народнический,социальный,PREP NOUN,2,0,политический,идеологический,,,
"Каразин, Николай Николаевич",мужской,0,Погоня за наживой,The Chase for Profit,Роман,1873,Дело,0,,исторический,дворяне,3 лицо,исторический,исторический,NOUN PREP NOUN,3,0,,,,,
"Де-Воллан, Григорий Александрович",мужской,0,Отто фон Нейзан,Otto von Neuzan,na,1873,"Карпат [газета, г. Пешт, Венгрия]",0,,социально-психологический,Аристократы,,социально-психологический,социально-психологический,NOUN PRCL NOUN,3,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Крестник Петра Великого,The Godson of Peter the Great,Исторический рассказ,1873,Отд. изд.,1,Санкт-Петербург,исторический,аристократы,3 лицо,исторический,исторический,NOUN NOUN NOUN,3,0,исторический,авантюрный,,,
"Мещерский, Владимир Петрович",мужской,0,Один из наших Бисмарков,One of Our Bismarcks,фантастический роман в 3 частях,1873,Гражданин,0,,сатирический,"Бюрократы, аристократы",3 лицо,сатирический,юмористический,ADJF PREP ADJF NOUN,4,0,,,,,
"Омулевский, Иннокентий Васильевич",мужской,0,Попытка - не шутка,An Attempt Is No Joke,Роман,1873,Дело,0,,,,3 лицо,,,NOUN PRCL NOUN,4,0,политический,бытовой,,,
"Евстигнеев, Михаил Евдокимович",мужской,0,Раскольничее гнездо сообщников царевны Софи,The Schismatic Nest of Tsarevna Sophia's Accomplices,Исторический роман в трех частях,1874,Отд. изд.,1,Москва,исторический,,,исторический,исторический,ADJF NOUN NOUN NOUN NOUN,5,0,,,,,
"Каразин, Николай Николаевич",мужской,0,Двуногий волк,The Two-Legged Wolf,Роман,1874,Нива,1,Санкт-Петербург,,народности и этнические группы,3 лицо,,,ADJF NOUN,2,0,приключенческий,этнографический,авантюрный,экзотический,
"Каразин, Николай Николаевич",мужской,0,С севера на юг,From North to South,Роман,1874,Дело,1,Санкт-Петербург,,крестьяне,3 лицо,,,PREP NOUN PREP NOUN,4,0,,,,,
"Евстигнеев, Михаил Евдокимович",мужской,0,"Страшный клад, или Татарская пленница","The Terrible Treasure, or The Tatar Captive",Повесть времен татарщины,1874,Отд. изд.,1,Москва,исторический,,,исторический,исторический,ADJF NOUN CONJ ADJF NOUN,5,0,,,,,
"Летнев, П.",женский,1,Вне общественных интересов,Outside Public Interests,Роман П. Летнева,1874,Отд. изд.,1,Санкт-Петербург,социальный,"дворянки, женщины",3 лицо,социальный,социальный,PREP ADJF NOUN,3,0,,,,,
"Крестовский, Всеволод Владимирович",мужской,0,Две силы,Two Forces,Роман,1874,Русский вестник,0,,исторический роман,,3 лицо,исторический,исторический,NUMR NOUN,2,0,исторический,антинигилистический,политический,идеологический,
"Бешенцов, Александр Николаевич",мужской,0,"Сказано, что Азия",It Was Said: Asia,Роман в 2 частях,1874,Нива,0,,любовный,"народности и этнические группы, военные",3 лицо,любовный,любовный,PRTS CONJ NOUN,3,0,любовный,приключенческий,экзотический,,
"Немирович-Данченко, Василий Иванович",мужской,0,"Жизнь, как она есть. На море",Life as It Is: At Sea,Из воспоминаний моряка,1874,Нива,1,Санкт-Петербург,авантюрный,военные,,авантюрный,приключенческий,NOUN CONJ NPRO INTJ PREP NOUN,6,0,,,,,
"Аверкиев, Дмитрий Васильевич",мужской,0,История бледного молодого человека,The Story of a Pale Young Man,Роман в 3 книгах с прологом,1874,Русский вестник,0,,социально-психологический,разночинцы,1 лицо,социально-психологический,социально-психологический,NOUN ADJF ADJF NOUN,4,0,социально-психологический,нравоописательный,,,
"Алеева, Н.",женский,1,Два мира,Two Worlds,Роман в 4 частях,1874,Дело,0,,,,,,,NUMR NOUN,2,0,,,,,
"Засодимский (Вологдин), Павел Владимирович",мужской,1,Хроника села Смурина,The Chronicle of the Village of Smurino,,1874,Отечественные записки,0,,социально-психологический,крестьяне,3 лицо,социально-психологический,социально-психологический,NOUN NOUN NOUN,3,0,,,,,
"Правдин, В.",мужской,1,Одесские катакомбы,The Catacombs of Odessa,"Роман в двух частях, из записок полицейского агента",1874,Отд. изд.,1,Санкт-Петербург,"криминальный, социальный","преступники, нищие",3 лицо,криминальный,криминальный,ADJF NOUN,2,0,уголовный,авантюрный,,,
"Петров, Пётр Николаевич",мужской,0,"Иоанн III, собиратель Земли Русской","Ivan III, Gatherer of the Russian Land","Исторический роман, начатый Н.В. Кукольником, а со 2-й главы II-й части продолженный и оконченный Петровым",1874,Отд. изд.,1,Санкт-Петербург,исторический,аристократия прошлого,,исторический,исторический,NOUN NUMR NOUN NOUN ADJF,5,0,,,,,
"Дьяков, Александр Александрович",мужской,0,Степные миссионеры,Steppe Missionaries,Отрывки из романа Юлия Тимченко,1874,Новое время,1,Санкт-Петербург,исторический,,1 лицо,исторический,исторический,ADJF NOUN,2,0,,,,,
"Данилевский, Григорий Петрович",мужской,0,Девятый вал,The Ninth Wave,Роман в трех частях,1874,Вестник Европы,0,,роман воспитания,,,воспитания,воспитания,ADJF NOUN,2,0,,,,,
"Боборыкин, Петр Дмитриевич",мужской,0,Доктор Цыбулька,Doctor Tsybulka,Рапсодия в трех книгах,1874,Отечественные записки,1,Санкт-Петербург,соц.-психологический,чиновники,3 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,социально-психологический,бытовой,нравоописательный,,
"Кашкаров, Иван Дмитриевич",мужской,0,Хищники,The Predators,Роман в двух частях,1875,Отд. изд.,1,Санкт-Петербург,соц.-психологический,"дворяне, крестьяне",,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Гусев, Сергей Сергеевич",мужской,0,Иван Николаевич Истуканов,Ivan Nikolaevich Istukanov,na,1875,Саратовский листок,1,Саратов,социально-психологический,разночинцы,,социально-психологический,социально-психологический,NOUN NOUN NOUN,3,0,,,,,
"Вовчок, Марко",женский,1,В глуши,In the Backwoods,Роман,1875,Отечественные записки,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,PREP NOUN,2,0,социально-психологический,бытовой,,,
"Мельников-Печерский, Павел Иванович",мужской,1,На горах,In the Mountains,Рассказ [в журнальной публикации с 1875 г.],1875,Русский вестник,0,,семейная хроника,"старообрядцы, купцы, крестьяне",3 лицо,семейный,семейный,PREP NOUN,2,0,семейный,этнографический,бытовой,религиозный,хроникальный
"Достоевский, Федор Михайлович",мужской,0,Подросток,The Adolescent,Роман,1875,Отечественные записки,1,Санкт-Петербург,социально-психологический,дворяне,1 лицо,социально-психологический,социально-психологический,NOUN,1,1,роман воспитания,социально-психологический,идеологический,,
"Соколов, Александр Алексеевич",мужской,1,Земское дело – семейное дело.,Zemstvo Business Is Family Business,Роман в 3 ч.,1875,Отд. изд.,1,Санкт-Петербург,социально-психологический,аристократия прошлого,,социально-психологический,социально-психологический,ADJF NOUN ADJF NOUN,5,0,,,,,
"Стахеев, Дмитрий Иванович",мужской,0,Наследники,The Heirs,"Повесть в 2 ч., заключающая в себе описание жизни, деятельности, страданий, радостей, увлечений и доблест. поступков одного весьма почтенного и весьма ученого, но отчасти легкомысл. стат. советника и некоторых других лиц, достойных внимания читателей",1875,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN,1,0,,,,,
"Костомаров, Николай Иванович",мужской,0,Кудеяр,Kudeyar,Историческая хроника в трех книгах,1875,Вестник Европы,1,Санкт-Петербург,исторический,аристократия прошлого,3 лицо,исторический,исторический,NOUN,1,0,исторический,этнографический,фольклорный,,
"Авсеенко, Василий Григорьевич",мужской,0,Млечный путь,The Milky Way,Роман,1875,Русский вестник,1,Москва,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,ADJF NOUN,2,0,социально-психологический,адюльтерный,светский,антинигилистический,
"Авсеенко, Василий Григорьевич",мужской,0,Из современного романа,From a Contemporary Novel,"Сцены, портреты и контуры",1875,Русский мир,0,,социально-психологический,,3 лицо,социально-психологический,социально-психологический,PREP ADJF NOUN,3,0,,,,,
"Фридрих, Ф.",na,0,Кто выиграл?,Who Won?,Из современной уголовной хроники,1875,Нива,1,Санкт-Петербург,"социально-психологический, детективный","разночинцы, дворяне",,социально-психологический,социально-психологический,NPRO VERB,2,0,,,,,
"Славутинский, Степан Тимофеевич",мужской,0,Капитон Перелетов,Kapiton Pereletov,Роман,1875,Отечественные записки,0,,социально-психологический,"крестьяне, дворяне",,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Шеллер-Михайлов, Александр Константинович",мужской,1,Старые гнезда,Old Nests,Роман,1875,Дело,0,,,"дворяне, крестьяне",3 лицо,,,NOUN NOUN,2,0,семейный,бытовой,,,
"Боборыкин, Петр Дмитриевич",мужской,0,Лихие болести,Fierce Ailments,Роман в двух книгах,1876,Отечественные записки,0,,социально-психологический; любовный,,3 лицо,социально-психологический,социально-психологический,ADJF NOUN,2,0,социально-психологический,любовный,бытовой,,
"Марков, Евгений Львович",мужской,0,Черноземные поля,Black-Earth Fields,Роман. В двух частях,1876,Дело,0,,,дворяне,3 лицо,,,ADJF NOUN,2,0,бытовой,крестьянский,этнографический,,
"Мещерский, Владимир Петрович",мужской,0,Лорд-апостол в большом петербуржском свете,A Lord-Apostle in Petersburg High Society,Повесть К.В.М.,1876,Отд. изд.,1,Санкт-Петербург; Москва,социально-психологический,"дворяне, свет",3 лицо,социально-психологический,социально-психологический,NOUN PREP ADJF ADJF NOUN,5,0,,,,,
"Мещерский, Владимир Петрович",мужской,0,Тайны современного Петербурга,The Mysteries of Modern Petersburg,Записки магистра Степана Боба,1876,Гражданин,0,,романы о нигилистах,нигилисты,1 лицо,антинигилистический,социальный,NOUN ADJF NOUN,3,0,,,,,
"Богров, Григорий Исаакович",мужской,0,Еврейский манускрипт,The Jewish Manuscript,Перед драмой,1876,Отд. изд.,1,Санкт-Петербург,исторический,народности и этнические группы,3 лицо,исторический,исторический,ADJF NOUN,2,0,,,,,
"Шеллер-Михайлов, Александр Константинович",мужской,1,Хлеба и зрелищ,Bread and Circuses,Роман,1876,Дело,0,,,дворяне,3 лицо,,,NOUN CONJ NOUN,3,0,нравоучительный,идеологический,,,
"Ласкос, Изабелла Львовна",женский,0,При дворе,At Court,Роман в трех частях,1876,Русский вестник,0,,социально-психологический,,,социально-психологический,социально-психологический,PREP NOUN,2,0,,,,,
"Потехин, Алексей Антипович",мужской,0,Около денег,Around Money,Роман,1876,Вестник Европы,0,,социально-психологический,рабочие,3 лицо,социально-психологический,социально-психологический,PREP NOUN,2,0,,,,,
"Каразин, Николай Николаевич",мужской,0,Тигрица,The Tigress,Быль,1876,Отд. изд.,1,Санкт-Петербург,,"дворяне, народности и этнические группы",1 лицо,,,NOUN,1,0,приключенческий,экзотический,авантюрный,,
"Линев, Дмитрий Александрович",мужской,0,Исповедь преступника,Confession of a Criminal,Уголовный роман,1876,Всемирная иллюстрация,0,,социально-психологический,разночинцы,1 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Смирнова, Софья Ивановна",женский,0,Сила характера,Strength of Character,Роман в трех частях,1876,Отечественные записки,0,,уголовный; социально-психологический,,,уголовный,криминальный,NOUN NOUN,2,0,,,,,
аноним,na,1,Князь Михаил Васильевич Скопин-Шуйский или Москва и Новгород в смутное время в начале семнадцатого века,"Prince Mikhail Vasilyevich Skopin-Shuisky, or Moscow and Novgorod in the Time of Troubles at the Beginning of the Seventeenth Century",Исторический роман в 4 частях,1876,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,NOUN NOUN NOUN NOUN CONJ NOUN CONJ NOUN PREP ADJF NOUN PREP NOUN ADJF NOUN,15,0,,,,,
"Авдеев, Михаил Васильевич",мужской,0,Мои времена в 30-х годах,My Times in the Thirties,na,1876,Молва,1,Москва,,,,,,ADJF NOUN PREP NUMR NOUN,5,0,,,,,
"Загоскин, Михаил Васильевич",мужской,0,Магистр,The Master,Роман,1876,"Сборник газеты ""Сибирь""",1,Санкт-Петербург,социально-психологический,духовенство/священники,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,бытовой,роман воспитания,,,
"Мамин-Сибиряк, Дмитрий Наркисович",мужской,1,В водовороте страстей,In the Maelstrom of Passions,Оригинальный роман,1876,Отд. изд.,1,Санкт-Петербург,авантюрный,купцы/промышленники,3 лицо,авантюрный,приключенческий,PREP NOUN NOUN,3,0,,,,,
"Авдеев, Михаил Васильевич",мужской,0,В сороковых годах,In the Forties,Повесть,1876,Вестник Европы,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,PREP ADJF NOUN,3,0,,,,,
"Петров, Пётр Николаевич",мужской,0,Царский суд,The Tsar's Judgement,Историческая повесть,1877,Отд. изд.,1,Санкт-Петербург,исторический,дворяне,3 лицо,исторический,исторический,ADJF NOUN,2,0,исторический,авантюрный,,,
"Чернышевский, Николай Гаврилович",мужской,0,Пролог,The Prologue,Роман в 2 ч,1877,Отд. изд.,1,Лондон,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,политический,дидактический,идеологический,,
"Летнев, П.",женский,1,Увлечения и ошибки,Passions and Mistakes,Роман,1877,Дело,0,,,,,,,NOUN CONJ NOUN,3,0,,,,,
"Дубровина, Екатерина Оскаровна",женский,0,Сфинкс,The Sphinx,Роман,1877,Дело,1,Санкт-Петербург,,,,,,NOUN,1,0,,,,,
"Тургенев, Иван Сергеевич",мужской,0,Новь,Virgin Soil,Рома в двух частях,1877,Вестник Европы,0,,исторический,разночинцы,3 лицо,исторический,исторический,NOUN,1,1,социально-психологический,политический,идеологический,,
"Берви, Василий Васильевич (Вильгельм Вильгельмович)",мужской,0,На жизнь и смерть. Изображение идеалистов,To Life and Death: A Portrayal of Idealists,роман в 3 частях,1877,Отд. изд.,1,Санкт-Петербург; Женева,"о новых людях, разночинцы, революционеры","новые люди, разночинцы, революционеры",3 лицо,социальный,социальный,PREP NOUN CONJ NOUN NOUN NOUN,6,0,,,,,
Ардов,женский,1,Без вины виноватые,Guilty without Guilt,Роман в 2 частях,1877,Вестник Европы,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,PREP NOUN ADJF,3,0,социально-психологический,семейный,,,
"Каразин, Николай Николаевич",мужской,0,В пороховом дыму,In Gunpowder Smoke,Роман,1877,Дело,1,Санкт-Петербург,,народности и этнические группы,3 лицо,,,PREP ADJF NOUN,3,0,,,,,
"Толстой, Лев Николаевич",мужской,0,Анна Каренина,Anna Karenina,Роман,1877,Русский вестник,0,,философский; социально-психологический,дворяне,3 лицо,философский,философский,NOUN NOUN,2,1,социально-психологический,философский,адюльтерный,семейный,
"Линев, Дмитрий Александрович",мужской,0,По тюрьмам,Through the Prisons,Записки заключенного,1877,Всемирная иллюстрация,0,,социально-психологический,разночинцы,1 лицо,социально-психологический,социально-психологический,PREP NOUN,2,0,социально-психологический,уголовный,,,
"Данилевский, Григорий Петрович",мужской,0,Мирович,Mirovich,Исторический роман в трех частях,1877,Вестник Европы,0,,исторический,легендарные исторические фигуры,3 лицо,исторический,исторический,NOUN,1,0,исторический,авантюрный,психологический,,
"Писемский, Алексей Феофилактович",мужской,0,Мещане,The Petty Bourgeois,Роман А.Ф. Писемского,1877,Пчела,1,Санкт-Петербург,,разночинцы,3 лицо,,,NOUN,1,0,социально-психологический,сатирический,,,
"Салманов, Петр Алексеевич",мужской,0,Убийца,The Murderer,"Роман из русского оконченного дела: в 3 частях, с прологом и эпилогом",1877,Отд. изд.,1,Санкт-Петербург,уголовный/криминальный,"дворяне, аристократия",3 лицо,уголовный,криминальный,NOUN,1,0,,,,,
"Мещерский, Владимир Петрович",мужской,0,Хочу быть русскою,I Want to Be Russian,Роман из большого петербургского света : В 4 ч.,1877,Отд. изд.,1,Санкт-Петербург,,,,,,VERB INFN ADJF,3,0,,,,,
"Салтыков-Щедрин, Михаил Евграфович",мужской,1,Современная идиллия,A Modern Idyll,,1877,Отечественные записки,0,,"социально-психологический, авантюрный","криминальный мир (мошенники, политеческие авантюристы)",1 лицо,социально-психологический,социально-психологический,ADJF NOUN,2,1,сатирический,политический,,,
"Засодимский, Павел Владимирович",мужской,0,Кто во что горазд,Each to His Own Talents,Повесть в трех книгах,1878,Слово,1,Санкт-Петербург,"социальный, крестьяне",крестьяне,3 лицо,социальный,социальный,NPRO PREP CONJ ADJS,4,0,,,,,
"Соловьев, Всеволод Сергеевич",мужской,0,Капитан гренадерский роты,The Captain of the Grenadier Company,Роман-хроника (XVIII в.),1878,Отд. изд.,1,Санкт-Петербург,исторический,легендарные исторические фигуры,3 лицо,исторический,исторический,NOUN ADJF NOUN,3,0,исторический,приключенческий,военный,,
"Станюкович, Константин Михайлович",мужской,0,В мутной воде,In Muddy Waters,Оригинальный роман из последних событий,1878,Биржевые ведомости,0,,,дворяне,3 лицо,,,PREP ADJF NOUN,3,0,политический,сатирический,,,
"Мордовцев, Даниил Лукич",мужской,0,Идеалисты и реалисты,Idealists and Realists,Исторический роман,1878,Отд. изд.,1,Санкт-Петербург,исторический,аристократия прошлого,3 лицо,исторический,исторический,NOUN CONJ NOUN,3,0,исторический,политический,идеологический,,
"Шеллер-Михайлов, Александр Константинович",мужской,1,Беспечальное житье,A Carefree Life,Роман,1878,Дело,0,,,,3 лицо,,,ADJF NOUN,2,0,бытовой,нравоописательный,,,
"Златовратский, Николай Николаевич",мужской,0,Устои,The Foundations,История одного поселка,1878,Отечественные записки,0,,социально-психологический,крестьяне,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,крестьянский,роман-идиллия,этнографический,,
"Фирсов, Николай Николаевич",мужской,0,Под грозой,Under the Storm,Повесть,1878,Книжки „Недели“,0,,,,3 лицо,,,PREP NOUN,2,0,,,,,
"Авсеенко, Василий Григорьевич",мужской,0,Скрежет зубовный,The Gnashing of Teeth,Роман,1878,Русский вестник,1,Москва,социально-психологический,,3 лицо,социально-психологический,социально-психологический,NOUN ADJF,2,0,,,,,
"Крестовский, В.-псевдоним",женский,1,Былое,The Past,Роман,1878,Отечественные записки,0,,,,3 лицо,,,ADJF,1,0,социально-психологический,семейный,,,
"Петров, Пётр Николаевич",мужской,0,Два узла одной верёвки,Two Knots on One Rope,(Характеристика времён Петра I),1878,Отд. изд.,1,Санкт-Петербург,исторический,дворяне,,исторический,исторический,NUMR NOUN ADJF NOUN,4,0,,,,,
"Полежаев, Петр Васильевич",мужской,0,Престол и монастырь,Throne and Monastery,Летопись 1682 и 1689 г.,1878,Историческая библиотека,0,,исторический,легендарные исторические фигуры,3 лицо,исторический,исторический,NOUN CONJ NOUN,3,0,исторический,религиозный,,,
"Салиас, Евгений Андреевич",мужской,1,Петербургское действо,The Petersburg Spectacle,Исторический роман,1878,Историческая библиотека; Русская мысль; Полярная звезда,0,,исторический,легендарные исторические фигуры,3 лицо,исторический,исторический,ADJF NOUN,2,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Царь-баба,The Tsar-Woman,Исторический роман в 2 ч. Александра Соколова,1878,Отд. изд.,1,Санкт-Петербург,исторический,дворяне,3 лицо,исторический,исторический,NOUN,1,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Сестра милосердия,The Sister of Mercy,Роман А.А. Соколова,1878,Отд. изд.,1,Санкт-Петербург,,,3 лицо,,,NOUN NOUN,2,0,,,,,
"Кондратьев, Иван Кузьмич",мужской,0,Гунны: Эпоха великого переселения народов,The Huns: The Age of the Great Migration of Peoples,Исторический роман из жизни славян IV-го и V-го столетий,1878,Отд. изд.,1,Москва,авантюрный; исторический,народности и этнические группы,3 лицо,авантюрный,приключенческий,NOUN NOUN NOUN NOUN NOUN,5,0,,,,,
"Маркевич, Болеслав Михайлович",мужской,0,Четверть века назад,A Quarter of a Century Ago,Правдивая история,1878,Русский вестник,0,,,"разночинцы, дворяне",3 лицо,,,NOUN NOUN ADVB,3,0,исторический,светский,политический,,
